date,close
16:00,23.96
11/8/16,23.96
11/7/16,24.08
11/4/16,25.07
11/3/16,25.3
11/2/16,24.76
11/1/16,25.13
10/31/16,24.52
10/28/16,23.81
10/27/16,23.73
10/26/16,24.13
10/25/16,24.65
10/24/16,24.09
10/21/16,24.62
10/20/16,24.81
10/19/16,24.87
10/18/16,24.2
10/17/16,23.34
10/14/16,22.99
10/13/16,23.49
10/12/16,23.07
10/11/16,22.58
10/10/16,23.16
10/7/16,23
10/6/16,22.84
10/5/16,23.58
10/4/16,23.4
10/3/16,25.96
9/30/16,26.43
9/29/16,26.69
9/28/16,26.91
9/27/16,26.28
9/26/16,26.78
9/23/16,27.02
9/22/16,27.74
9/21/16,27.9
9/20/16,26.06
9/19/16,26.09
9/16/16,25.96
9/15/16,26.18
9/14/16,26.01
9/13/16,26.06
9/12/16,27.04
9/9/16,26.41
9/8/16,27.9
9/7/16,28.52
9/6/16,28.68
9/2/16,27.35
9/1/16,26.42
8/31/16,25.49
8/30/16,25.9
8/29/16,27.24
8/26/16,27.18
8/25/16,27.31
8/24/16,26.97
8/23/16,29.02
8/22/16,29.46
8/19/16,29.96
8/18/16,30.75
8/17/16,30.37
8/16/16,30.81
8/15/16,30.86
8/12/16,31.05
8/11/16,31.04
8/10/16,31.3
8/9/16,30.76
8/8/16,30.5
